Entity,Code,Year,Solar,Wind,Hydro,Nuclear,Fossil Fuels,Gas,Coal,Oil,Geo Biomass Other,Biofuels,Total
South Korea,KOR,1965,0,0,1.973408333,0,72.71634472,0,57.59176,15.12458472,0,0,74.68975305
South Korea,KOR,1966,0,0,2.737005556,0,87.8547525,0,65.20941,22.6453425,0,0,90.59175806
South Korea,KOR,1967,0,0,2.647697222,0,101.4660131,0,62.20887,39.25714306,0,0,104.1137103
South Korea,KOR,1968,0,0,2.581897222,0,116.7711789,0,58.7315,58.03967889,0,0,119.3530761
South Korea,KOR,1969,0,0,3.968088889,0,140.1074561,0,61.33662,78.77083611,0,0,144.075545
South Korea,KOR,1970,0,0,3.390788889,0,163.8562472,0,65.46527,98.39097722,0,0,167.2470361
South Korea,KOR,1971,0,0,3.6666,0,177.2870314,0,66.16307,111.1239614,0,0,180.9536314
South Korea,KOR,1972,0,0,3.800211111,0,183.8074961,0,67.81453,115.9929661,0,0,187.6077072
South Korea,KOR,1973,0,0,3.567958333,0,228.5391617,0,85.75962,142.7795417,0,0,232.10712
South Korea,KOR,1974,0,0,5.29405,0,235.9340928,0,88.44615,147.4879428,0,0,241.2281428
South Korea,KOR,1975,0,0,4.674469444,0,260.6210703,0,93.44705,167.1740203,0,0,265.2955397
South Korea,KOR,1976,0,0,4.968502778,0,291.8415294,0,104.16991,187.6716194,0,0,296.8100322
South Korea,KOR,1977,0,0,3.868691667,0.198516667,337.3281139,0,113.71814,223.6099739,0,0,341.3953222
South Korea,KOR,1978,0,0,5.0209,6.4566,370.7651289,0,115.06722,255.6979089,0,0,382.2426289
South Korea,KOR,1979,0,0,6.378244444,8.755288889,425.4183611,0,137.73409,287.6842711,0,0,440.5518944
South Korea,KOR,1980,0,0,5.334375,9.658761111,438.4869128,0,153.50437,284.9825428,0,0,453.4800489
South Korea,KOR,1981,0,0,7.215852778,8.047791667,459.4368247,0,177.2900461,282.1467786,0,0,474.7004691
South Korea,KOR,1982,0,0,4.764894444,10.49246944,459.758875,0,179.6904781,280.0683969,0,0,475.0162389
South Korea,KOR,1983,0,0,6.372752778,24.90293889,484.8225617,0,191.7914931,293.0310686,0,0,516.0982534
South Korea,KOR,1984,0,0,5.550397222,32.75571944,525.3435347,0,231.05321,294.2903247,0,0,563.6496514
South Korea,KOR,1985,0,0,8.847127778,46.51483611,567.2364756,0,256.1170231,311.1194525,0,0,622.5984395
South Korea,KOR,1986,0,0,8.638555556,78.64226944,610.9405667,0.711756111,271.3279,338.9009106,0,0,698.2213917
South Korea,KOR,1987,0,0,11.01491944,109.2060917,653.2072511,22.02256806,274.9204069,356.2642761,0,0,773.4282622
South Korea,KOR,1988,0,0,5.520088889,111.3907556,747.0409803,28.44930611,292.6375489,425.9541253,0,0,863.9518248
South Korea,KOR,1989,0,0,8.233247222,131.5699222,799.057925,27.52821,284.847775,486.68194,0,0,938.8610944
South Korea,KOR,1990,0.002777778,0,13.01096111,146.9071167,902.116868,31.64174111,280.5644461,589.9106808,0,0,1062.037724
South Korea,KOR,1991,0.002777778,0,9.683461111,156.41875,1035.521166,36.65543389,281.5181061,717.3476261,0,0,1201.626155
South Korea,KOR,1992,0.005555556,0,8.604022222,157.0283722,1190.145885,47.94932694,274.1214261,868.0751322,0,0,1355.783835
South Korea,KOR,1993,0.005555556,0.002777778,11.74319167,161.4950083,1313.602576,59.90264111,300.5180369,953.1818978,0,0,1486.849109
South Korea,KOR,1994,0.005555556,0.002777778,6.516922222,162.9192167,1434.605894,79.73760611,308.572975,1046.295313,0,0,1604.050366
South Korea,KOR,1995,0.005555556,0,7.666452778,186.1906861,1557.779534,96.43247111,319.7715019,1141.575561,0.25,0,1751.892228
South Korea,KOR,1996,0.008333333,0,6.734325,205.3453889,1722.208811,127.4043239,373.323,1221.481487,0.403,0,1934.699858
South Korea,KOR,1997,0.008333333,0.002777778,7.816644444,214.1268028,1903.809414,154.8278639,406.2056619,1342.775888,0.078,0,2125.841972
South Korea,KOR,1998,0.011111111,0.005555556,11.88727222,249.1360333,1651.038013,144.8423461,419.2684781,1086.927189,0.058,0,1912.135985
South Korea,KOR,1999,0.0127,0.016219444,11.5535,286.288275,1786.564885,176.3584831,443.7670731,1166.439329,0.087,0,2084.52258
South Korea,KOR,2000,0.014677778,0.046347222,11.13764722,302.6770556,1892.033925,198.0775081,499.2130981,1194.743319,0.079,0,2205.988653
South Korea,KOR,2001,0.017055556,0.034745,6.430025833,309.4580456,1945.006666,217.5775289,531.7724461,1195.656691,0.088,0,2261.034538
South Korea,KOR,2002,0.019305556,0.040802778,8.864068056,326.5724814,2032.342065,241.7772331,571.3900411,1219.174791,0.179,0,2368.017723
South Korea,KOR,2003,0.021111111,0.067741111,13.31006417,353.2724314,2078.105179,253.2385981,594.5767719,1230.289809,0.188,0,2444.964527
South Korea,KOR,2004,0.026722222,0.128425833,11.67011889,353.8458394,2135.305108,296.7499169,618.6973919,1219.857799,0.292869218,0.063965,2501.333048
South Korea,KOR,2005,0.038731389,0.349382222,9.880710833,394.8169922,2179.924133,317.725785,637.271665,1224.926683,0.259813729,0.155842,2585.425605
South Korea,KOR,2006,0.082920556,0.638598611,9.268575833,397.5992264,2219.136456,334.9858681,658.8674119,1225.283176,0.241290189,0.619879,2627.586947
South Korea,KOR,2007,0.189334722,0.997796389,9.646568333,379.6768419,2315.397719,362.8176211,693.76439,1258.815708,0.383904244,1.112991,2707.405156
South Korea,KOR,2008,0.750520833,1.151021389,8.1043325,398.4914458,2341.500944,373.3683569,768.7406739,1199.391913,0.653075825,2.065488,2752.716828
South Korea,KOR,2009,1.4853775,1.797993889,7.380233056,387.6703269,2367.854485,354.9150361,797.75985,1215.179599,0.539064507,2.956346,2769.683827
South Korea,KOR,2010,2.014971944,2.130084444,9.600226667,387.4428075,2591.316625,450.1647361,897.1591339,1243.992755,2.888306639,4.149584,2999.542606
South Korea,KOR,2011,2.376885,2.236132222,11.91468694,400.9592711,2709.801091,484.4546281,973.2844619,1252.062001,5.812305053,3.908843,3137.009214
South Korea,KOR,2012,2.841645278,2.351048611,10.22328028,387.2066639,2753.378787,525.286395,937.8013319,1290.29106,6.601881866,4.185637,3166.788944
South Korea,KOR,2013,4.109652778,2.939615,10.98155806,355.3204128,2787.727315,549.7582411,948.35672,1289.612354,7.406297,6.376729,3174.86158
South Korea,KOR,2014,6.505553889,2.915339722,7.002113889,398.0405219,2765.278303,500.0399911,981.5568811,1283.681431,10.99383336,5.276531,3196.012197
South Korea,KOR,2015,10.06632333,3.396051111,5.428158889,416.8096833,2792.906096,456.4972711,993.2159561,1343.192869,11.99635125,5.180002,3245.782666
South Korea,KOR,2016,12.88187917,4.232753889,7.157792778,407.3841372,2873.194572,476.4369061,947.8368589,1448.920807,12.1300763,5.150927,3322.132138
South Korea,KOR,2017,17.64054806,5.422535833,7.022051111,371.0668125,2963.798908,497.5639278,1002.235021,1463.999959,14.92012799,4.978803,3384.849786
South Korea,KOR,2018,22.88562583,6.126161111,8.349430278,331.8113211,3036.961636,578.040075,1007.748804,1451.172757,15.50369625,7.945616,3429.583487
South Korea,KOR,2019,32.18095389,6.634175,6.9053725,361.3039292,2950.230216,560.3382847,955.3661211,1434.52581,14.85108077,8.137511,3380.243238
South Korea,KOR,2020,40.87711222,7.745743333,9.567445278,395.1924908,2770.068776,566.4792736,841.40724,1362.182262,17.34024956,8.084013,3248.87583