Entity,Code,Year,Fossil Fuels per capita (kWh),Nuclear per capita (kWh),Renewables per capita (kWh)
South Korea,KOR,1965,2516.525,0,68.295
South Korea,KOR,1966,2970.823,0,92.552
South Korea,KOR,1967,3355.727,0,87.566
South Korea,KOR,1968,3779.988,0,83.578
South Korea,KOR,1969,4441.679,0,125.796
South Korea,KOR,1970,5089.39,0,105.318
South Korea,KOR,1971,5396.751,0,111.614
South Korea,KOR,1972,5485.727,0,113.417
South Korea,KOR,1973,6691.42,0,104.467
South Korea,KOR,1974,6783.446,0,152.212
South Korea,KOR,1975,7366.625,0,132.127
South Korea,KOR,1976,8119.79,0,138.237
South Korea,KOR,1977,9248.1,5.442,106.063
South Korea,KOR,1978,10022.803,174.54,135.729
South Korea,KOR,1979,11341.08,233.404,170.035
South Korea,KOR,1980,11525.307,253.873,140.21
South Korea,KOR,1981,11901.814,208.48,186.928
South Korea,KOR,1982,11735.97,267.835,121.63
South Korea,KOR,1983,12197.481,626.524,160.33
South Korea,KOR,1984,13037.049,812.874,137.74
South Korea,KOR,1985,13901.364,1139.947,216.818
South Korea,KOR,1986,14805.265,1905.782,209.343
South Korea,KOR,1987,15669.502,2619.697,264.232
South Korea,KOR,1988,17750.077,2646.701,131.16
South Korea,KOR,1989,18805.272,3096.406,193.764
South Korea,KOR,1990,21019.359,3422.942,303.221
South Korea,KOR,1991,23874.725,3606.353,223.324
South Korea,KOR,1992,27142.418,3581.183,196.35
South Korea,KOR,1993,29629.019,3642.608,265.062
South Korea,KOR,1994,32008.138,3634.964,145.588
South Korea,KOR,1995,34393.776,4110.852,184.721
South Korea,KOR,1996,37643.096,4488.327,171.846
South Korea,KOR,1997,41211.547,4635.179,174.137
South Korea,KOR,1998,35414.297,5343.897,258.792
South Korea,KOR,1999,37998.344,6089.049,251.486
South Korea,KOR,2000,39933.849,6388.395,240.994
South Korea,KOR,2001,40770.53,6486.748,140.96
South Korea,KOR,2002,42340.889,6803.662,196.147
South Korea,KOR,2003,43059.841,7320.06,288.248
South Korea,KOR,2004,44032.908,7296.784,261.521
South Korea,KOR,2005,44761.353,8106.953,228.404
South Korea,KOR,2006,45399.302,8134.122,230.254
South Korea,KOR,2007,47219.505,7743.012,264.433
South Korea,KOR,2008,47608.497,8102.315,280.493
South Korea,KOR,2009,47983.36,7855.941,304.66
South Korea,KOR,2010,52301.654,7819.924,513.178
South Korea,KOR,2011,54428.855,8053.637,713.029
South Korea,KOR,2012,55000.915,7734.759,731.243
South Korea,KOR,2013,55371.729,7057.615,861.434
South Korea,KOR,2014,54641.277,7865.191,981.623
South Korea,KOR,2015,54953.539,8201.195,1070.744
South Korea,KOR,2016,56355.488,7990.525,1175.441
South Korea,KOR,2017,58004.102,7262.098,1416.231
South Korea,KOR,2018,59348.508,6484.279,1638.395
South Korea,KOR,2019,57593.248,7053.235,1769.293
South Korea,KOR,2020,54029.941,7708.194,2127.104