Entity,Code,Year,Fossil Fuels (% sub energy),Renewables (% sub energy),Nuclear (% sub energy)
South Korea,KOR,1965,97.358,2.642,0
South Korea,KOR,1966,96.979,3.021,0
South Korea,KOR,1967,97.457,2.543,0
South Korea,KOR,1968,97.837,2.163,0
South Korea,KOR,1969,97.246,2.754,0
South Korea,KOR,1970,97.973,2.027,0
South Korea,KOR,1971,97.974,2.026,0
South Korea,KOR,1972,97.974,2.026,0
South Korea,KOR,1973,98.463,1.537,0
South Korea,KOR,1974,97.805,2.195,0
South Korea,KOR,1975,98.238,1.762,0
South Korea,KOR,1976,98.326,1.674,0
South Korea,KOR,1977,98.809,1.133,0.058
South Korea,KOR,1978,96.997,1.314,1.689
South Korea,KOR,1979,96.565,1.448,1.987
South Korea,KOR,1980,96.694,1.176,2.13
South Korea,KOR,1981,96.785,1.52,1.695
South Korea,KOR,1982,96.788,1.003,2.209
South Korea,KOR,1983,93.94,1.235,4.825
South Korea,KOR,1984,93.204,0.985,5.811
South Korea,KOR,1985,91.108,1.421,7.471
South Korea,KOR,1986,87.5,1.237,11.263
South Korea,KOR,1987,84.456,1.424,14.12
South Korea,KOR,1988,86.468,0.639,12.893
South Korea,KOR,1989,85.109,0.877,14.014
South Korea,KOR,1990,84.942,1.225,13.833
South Korea,KOR,1991,86.177,0.806,13.017
South Korea,KOR,1992,87.783,0.635,11.582
South Korea,KOR,1993,88.348,0.79,10.862
South Korea,KOR,1994,89.436,0.407,10.157
South Korea,KOR,1995,88.897,0.477,10.625
South Korea,KOR,1996,88.984,0.406,10.61
South Korea,KOR,1997,89.55,0.378,10.072
South Korea,KOR,1998,86.341,0.631,13.028
South Korea,KOR,1999,85.7,0.567,13.733
South Korea,KOR,2000,85.763,0.518,13.72
South Korea,KOR,2001,86.017,0.297,13.686
South Korea,KOR,2002,85.813,0.398,13.789
South Korea,KOR,2003,84.984,0.569,14.447
South Korea,KOR,2004,85.35,0.507,14.143
South Korea,KOR,2005,84.302,0.43,15.268
South Korea,KOR,2006,84.442,0.428,15.129
South Korea,KOR,2007,85.501,0.479,14.02
South Korea,KOR,2008,85.028,0.501,14.471
South Korea,KOR,2009,85.465,0.543,13.992
South Korea,KOR,2010,86.257,0.846,12.897
South Korea,KOR,2011,86.128,1.128,12.744
South Korea,KOR,2012,86.661,1.152,12.187
South Korea,KOR,2013,87.488,1.361,11.151
South Korea,KOR,2014,86.065,1.546,12.388
South Korea,KOR,2015,85.563,1.667,12.769
South Korea,KOR,2016,86.011,1.794,12.195
South Korea,KOR,2017,86.986,2.124,10.891
South Korea,KOR,2018,87.961,2.428,9.61
South Korea,KOR,2019,86.716,2.664,10.62
South Korea,KOR,2020,84.6,3.331,12.069